Date,District,Time,CO,FSP,NO2,NOX,O3,RSP,SO2,AQHI,lat,lon
2020/1/1,Causeway Bay,9,89,3,68,198,19,49,6,3,22.281672,114.183565
2020/1/1,Causeway Bay,24,63,2,45,74,64,3,4,4,22.281672,114.183565
2020/1/2,Causeway Bay,9,79,2,88,2,15,51,7,4,22.281672,114.183565
2020/1/2,Causeway Bay,24,92,43,77,2,7,66,8,4,22.281672,114.183565
2020/1/3,Causeway Bay,9,94,3,155,487,9,52,11,4,22.281672,114.183565
2020/1/3,Causeway Bay,24,68,41,66,118,46,56,6,4,22.281672,114.183565
2020/1/4,Causeway Bay,9,76,2,87,2,2,42,7,4,22.281672,114.183565
2020/1/4,Causeway Bay,24,80,3,83,182,3,50,7,4,22.281672,114.183565
2020/1/5,Causeway Bay,9,61,2,54,115,3,3,5,3,22.281672,114.183565
2020/1/5,Causeway Bay,24,57,19,41,66,65,3,6,4,22.281672,114.183565
2020/1/6,Causeway Bay,9,74,2,75,181,2,3,6,3,22.281672,114.183565
2020/1/6,Causeway Bay,24,67,3,65,107,49,51,6,4,22.281672,114.183565
2020/1/7,Causeway Bay,9,147,2,117,72,2,50,16,4,22.281672,114.183565
2020/1/7,Causeway Bay,24,13,3,90,401,1,48,12,4,22.281672,114.183565
2020/1/8,Causeway Bay,9,95,40,86,3,8,67,11,4,22.281672,114.183565
2020/1/8,Causeway Bay,24,70,2,48,67,85,43,6,5,22.281672,114.183565
2020/1/9,Causeway Bay,9,100,2,92,194,3,50,7,4,22.281672,114.183565
2020/1/9,Causeway Bay,24,97,2,75,12,51,45,6,5,22.281672,114.183565
2020/1/10,Causeway Bay,9,109,3,106,2,2,62,9,5,22.281672,114.183565
2020/1/10,Causeway Bay,24,95,3,94,199,3,56,4,5,22.281672,114.183565
2020/1/11,Causeway Bay,9,92,40,76,2,2,65,4,4,22.281672,114.183565
2020/1/11,Causeway Bay,24,156,56,83,3,3,108,11,5,22.281672,114.183565
2020/1/12,Causeway Bay,9,12,16,74,2,6,3,8,3,22.281672,114.183565
2020/1/12,Causeway Bay,24,108,2,65,163,2,3,5,4,22.281672,114.183565
2020/1/13,Causeway Bay,9,109,2,64,198,8,43,6,3,22.281672,114.183565
2020/1/13,Causeway Bay,24,87,2,59,86,65,46,2,5,22.281672,114.183565
2020/1/14,Causeway Bay,9,98,3,81,183,3,62,5,4,22.281672,114.183565
2020/1/14,Causeway Bay,24,105,3,88,169,47,54,5,5,22.281672,114.183565
2020/1/15,Causeway Bay,9,84,3,71,144,42,57,3,4,22.281672,114.183565
2020/1/15,Causeway Bay,24,NaN,46,NaN,NaN,NaN,68,NaN,5,22.281672,114.183565
2020/1/16,Causeway Bay,9,104,3,87,2,18,58,5,4,22.281672,114.183565
2020/1/16,Causeway Bay,24,103,3,79,167,3,52,4,4,22.281672,114.183565
2020/1/17,Causeway Bay,9,13,2,78,3,4,53,7,3,22.281672,114.183565
2020/1/17,Causeway Bay,24,12,2,73,141,18,3,4,3,22.281672,114.183565
2020/1/18,Causeway Bay,9,12,2,76,2,7,3,7,3,22.281672,114.183565
2020/1/18,Causeway Bay,24,88,19,48,80,55,3,2,4,22.281672,114.183565
2020/1/19,Causeway Bay,9,106,2,64,2,2,3,5,3,22.281672,114.183565
2020/1/19,Causeway Bay,24,155,47,87,2,4,65,7,4,22.281672,114.183565
2020/1/20,Causeway Bay,9,117,2,98,2,9,3,5,3,22.281672,114.183565
2020/1/20,Causeway Bay,24,102,2,73,145,42,3,3,4,22.281672,114.183565
2020/1/21,Causeway Bay,9,116,NaN,92,196,2,NaN,4,4,22.281672,114.183565
2020/1/21,Causeway Bay,24,109,3,88,165,48,54,4,5,22.281672,114.183565
2020/1/22,Causeway Bay,9,12,3,12,43,15,50,8,5,22.281672,114.183565
2020/1/22,Causeway Bay,24,113,3,83,158,2,51,4,4,22.281672,114.183565
2020/1/23,Causeway Bay,9,109,3,92,2,17,62,5,4,22.281672,114.183565
2020/1/23,Causeway Bay,24,96,3,67,153,2,47,4,4,22.281672,114.183565
2020/1/24,Causeway Bay,9,100,3,68,178,16,48,4,3,22.281672,114.183565
2020/1/24,Causeway Bay,24,99,2,51,95,3,3,3,4,22.281672,114.183565
2020/1/25,Causeway Bay,9,98,2,68,2,2,3,5,3,22.281672,114.183565
2020/1/25,Causeway Bay,24,13,2,64,2,6,3,7,3,22.281672,114.183565
2020/1/26,Causeway Bay,9,108,4,3,12,4,6,5,2,22.281672,114.183565
2020/1/26,Causeway Bay,24,99,13,3,112,13,2,3,2,22.281672,114.183565
2020/1/27,Causeway Bay,9,84,9,40,95,2,14,2,2,22.281672,114.183565
2020/1/27,Causeway Bay,24,104,11,52,155,13,17,5,3,22.281672,114.183565
2020/1/28,Causeway Bay,9,89,12,50,12,2,2,3,2,22.281672,114.183565
2020/1/28,Causeway Bay,24,NaN,13,NaN,NaN,NaN,2,NaN,3,22.281672,114.183565
2020/1/29,Causeway Bay,9,105,2,93,3,6,2,8,3,22.281672,114.183565
2020/1/29,Causeway Bay,24,113,18,64,169,3,2,5,3,22.281672,114.183565
2020/1/30,Causeway Bay,9,79,2,87,2,2,3,7,4,22.281672,114.183565
2020/1/30,Causeway Bay,24,100,2,77,191,3,3,6,4,22.281672,114.183565
2020/1/31,Causeway Bay,9,86,NaN,88,2,2,NaN,7,4,22.281672,114.183565
2020/1/31,Causeway Bay,24,111,3,119,3,5,46,9,4,22.281672,114.183565
2020/1/1,Central,9,87,2,52,99,3,3,6,3,22.28053,114.158702
2020/1/1,Central,24,69,19,46,59,72,2,5,4,22.28053,114.158702
2020/1/2,Central,9,78,13,90,2,18,2,7,4,22.28053,114.158702
2020/1/2,Central,24,117,40,90,2,6,57,9,4,22.28053,114.158702
2020/1/3,Central,9,82,2,109,2,15,3,9,4,22.28053,114.158702
2020/1/3,Central,24,83,3,84,12,41,3,7,4,22.28053,114.158702
2020/1/4,Central,9,73,2,87,152,2,3,7,4,22.28053,114.158702
2020/1/4,Central,24,69,2,70,102,54,44,6,4,22.28053,114.158702
2020/1/5,Central,9,58,13,44,68,53,2,5,3,22.28053,114.158702
2020/1/5,Central,24,60,12,50,72,65,2,7,4,22.28053,114.158702
2020/1/6,Central,9,78,14,97,2,2,2,8,4,22.28053,114.158702
2020/1/6,Central,24,85,2,73,102,50,40,4,4,22.28053,114.158702
2020/1/7,Central,9,107,2,12,412,6,40,10,4,22.28053,114.158702
2020/1/7,Central,24,174,2,119,552,5,52,16,5,22.28053,114.158702
2020/1/8,Central,9,96,2,101,2,9,51,9,4,22.28053,114.158702
2020/1/8,Central,24,81,18,70,97,76,41,4,5,22.28053,114.158702
2020/1/9,Central,9,104,19,92,152,49,44,4,5,22.28053,114.158702
2020/1/9,Central,24,102,2,71,102,63,3,3,5,22.28053,114.158702
2020/1/10,Central,9,110,3,112,193,3,55,6,5,22.28053,114.158702
2020/1/10,Central,24,89,3,73,104,57,45,3,5,22.28053,114.158702
2020/1/11,Central,9,89,3,86,142,2,50,4,4,22.28053,114.158702
2020/1/11,Central,24,144,57,77,196,6,107,9,4,22.28053,114.158702
2020/1/12,Central,9,119,10,72,181,10,2,6,3,22.28053,114.158702
2020/1/12,Central,24,104,15,68,111,3,2,4,4,22.28053,114.158702
2020/1/13,Central,9,118,18,70,184,12,3,6,3,22.28053,114.158702
2020/1/13,Central,24,100,2,77,100,63,40,3,5,22.28053,114.158702
2020/1/14,Central,9,105,3,100,182,3,53,6,4,22.28053,114.158702
2020/1/14,Central,24,92,3,78,102,65,51,4,5,22.28053,114.158702
2020/1/15,Central,9,88,2,102,190,3,45,4,4,22.28053,114.158702
2020/1/15,Central,24,101,43,44,55,68,71,2,5,22.28053,114.158702
2020/1/16,Central,9,108,3,101,2,18,52,5,4,22.28053,114.158702
2020/1/16,Central,24,103,3,106,195,18,47,5,4,22.28053,114.158702
2020/1/17,Central,9,13,2,92,3,6,54,9,3,22.28053,114.158702
2020/1/17,Central,24,13,17,106,2,13,3,7,4,22.28053,114.158702
2020/1/18,Central,9,119,14,68,153,15,2,5,3,22.28053,114.158702
2020/1/18,Central,24,95,15,68,104,48,2,3,4,22.28053,114.158702
2020/1/19,Central,9,105,16,61,112,2,3,4,3,22.28053,114.158702
2020/1/19,Central,24,12,3,84,194,7,60,6,4,22.28053,114.158702
2020/1/20,Central,9,116,2,12,3,9,3,8,4,22.28053,114.158702
2020/1/20,Central,24,111,NaN,91,147,3,NaN,4,5,22.28053,114.158702
2020/1/21,Central,9,12,3,107,2,2,56,4,4,22.28053,114.158702
2020/1/21,Central,24,102,2,72,94,70,41,3,5,22.28053,114.158702
2020/1/22,Central,9,116,3,12,2,3,45,5,5,22.28053,114.158702
2020/1/22,Central,24,107,2,78,112,44,40,3,4,22.28053,114.158702
2020/1/23,Central,9,112,3,110,2,15,49,5,4,22.28053,114.158702
2020/1/23,Central,24,97,18,65,100,3,2,3,3,22.28053,114.158702
2020/1/24,Central,9,108,2,85,2,14,3,5,3,22.28053,114.158702
2020/1/24,Central,24,100,14,47,72,50,2,2,3,22.28053,114.158702
